,pm2.5,nadm_visina,datum_od,merilno_mesto,o3,benzen,ge_sirina,pm10,co,no2,sifra,datum_do,ge_dolzina,so2
0,51.0,230,2023-02-15 19:00,Ptuj,,,46.425815,62.0,,,E801,2023-02-15 20:00:00,15.881421,
1,62.0,230,2023-02-15 20:00,Ptuj,,,46.425815,70.0,,,E801,2023-02-15 21:00:00,15.881421,
2,62.0,230,2023-02-15 20:00,Ptuj,,,46.425815,70.0,,,E801,2023-02-15 21:00:00,15.881421,
3,62.0,230,2023-02-15 20:00,Ptuj,,,46.425815,70.0,,,E801,2023-02-15 21:00:00,15.881421,
4,62.0,230,2023-02-15 20:00,Ptuj,,,46.425815,70.0,,,E801,2023-02-15 21:00:00,15.881421,
5,62.0,230,2023-02-15 20:00,Ptuj,,,46.425815,70.0,,,E801,2023-02-15 21:00:00,15.881421,
6,62.0,230,2023-02-15 20:00,Ptuj,,,46.425815,70.0,,,E801,2023-02-15 21:00:00,15.881421,
7,59.0,230,2023-02-15 21:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 22:00:00,15.881421,
8,59.0,230,2023-02-15 21:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 22:00:00,15.881421,
9,59.0,230,2023-02-15 21:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 22:00:00,15.881421,
10,59.0,230,2023-02-15 21:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 22:00:00,15.881421,
11,59.0,230,2023-02-15 21:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 22:00:00,15.881421,
12,59.0,230,2023-02-15 21:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 22:00:00,15.881421,
13,59.0,230,2023-02-15 21:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 22:00:00,15.881421,
14,59.0,230,2023-02-15 21:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 22:00:00,15.881421,
15,59.0,230,2023-02-15 21:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 22:00:00,15.881421,
16,59.0,230,2023-02-15 21:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 22:00:00,15.881421,
17,59.0,230,2023-02-15 21:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 22:00:00,15.881421,
18,59.0,230,2023-02-15 21:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 22:00:00,15.881421,
19,62.0,230,2023-02-15 22:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 23:00:00,15.881421,
20,62.0,230,2023-02-15 22:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 23:00:00,15.881421,
21,62.0,230,2023-02-15 22:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 23:00:00,15.881421,
22,62.0,230,2023-02-15 22:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 23:00:00,15.881421,
23,62.0,230,2023-02-15 22:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 23:00:00,15.881421,
24,62.0,230,2023-02-15 22:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 23:00:00,15.881421,
25,62.0,230,2023-02-15 22:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 23:00:00,15.881421,
26,62.0,230,2023-02-15 22:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 23:00:00,15.881421,
27,62.0,230,2023-02-15 22:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 23:00:00,15.881421,
28,62.0,230,2023-02-15 22:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 23:00:00,15.881421,
29,62.0,230,2023-02-15 22:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 23:00:00,15.881421,
30,62.0,230,2023-02-15 22:00,Ptuj,,,46.425815,65.0,,,E801,2023-02-15 23:00:00,15.881421,
31,60.0,230,2023-02-15 23:00,Ptuj,,,46.425815,62.0,,,E801,2023-02-16 00:00:00,15.881421,
32,60.0,230,2023-02-15 23:00,Ptuj,,,46.425815,62.0,,,E801,2023-02-16 00:00:00,15.881421,
33,60.0,230,2023-02-15 23:00,Ptuj,,,46.425815,62.0,,,E801,2023-02-16 00:00:00,15.881421,
34,60.0,230,2023-02-15 23:00,Ptuj,,,46.425815,62.0,,,E801,2023-02-16 00:00:00,15.881421,
35,60.0,230,2023-02-15 23:00,Ptuj,,,46.425815,62.0,,,E801,2023-02-16 00:00:00,15.881421,
36,60.0,230,2023-02-15 23:00,Ptuj,,,46.425815,62.0,,,E801,2023-02-16 00:00:00,15.881421,
37,60.0,230,2023-02-15 23:00,Ptuj,,,46.425815,62.0,,,E801,2023-02-16 00:00:00,15.881421,
38,60.0,230,2023-02-15 23:00,Ptuj,,,46.425815,62.0,,,E801,2023-02-16 00:00:00,15.881421,
39,60.0,230,2023-02-15 23:00,Ptuj,,,46.425815,62.0,,,E801,2023-02-16 00:00:00,15.881421,
40,60.0,230,2023-02-15 23:00,Ptuj,,,46.425815,62.0,,,E801,2023-02-16 00:00:00,15.881421,
41,60.0,230,2023-02-15 23:00,Ptuj,,,46.425815,62.0,,,E801,2023-02-16 00:00:00,15.881421,
42,60.0,230,2023-02-15 23:00,Ptuj,,,46.425815,62.0,,,E801,2023-02-16 00:00:00,15.881421,
43,56.0,230,2023-02-16 00:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 01:00:00,15.881421,
44,56.0,230,2023-02-16 00:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 01:00:00,15.881421,
45,56.0,230,2023-02-16 00:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 01:00:00,15.881421,
46,56.0,230,2023-02-16 00:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 01:00:00,15.881421,
47,56.0,230,2023-02-16 00:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 01:00:00,15.881421,
48,56.0,230,2023-02-16 00:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 01:00:00,15.881421,
49,56.0,230,2023-02-16 00:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 01:00:00,15.881421,
50,56.0,230,2023-02-16 00:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 01:00:00,15.881421,
51,56.0,230,2023-02-16 00:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 01:00:00,15.881421,
52,56.0,230,2023-02-16 00:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 01:00:00,15.881421,
53,56.0,230,2023-02-16 00:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 01:00:00,15.881421,
54,56.0,230,2023-02-16 00:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 01:00:00,15.881421,
55,57.0,230,2023-02-16 01:00,Ptuj,,,46.425815,59.0,,,E801,2023-02-16 02:00:00,15.881421,
56,57.0,230,2023-02-16 01:00,Ptuj,,,46.425815,59.0,,,E801,2023-02-16 02:00:00,15.881421,
57,57.0,230,2023-02-16 01:00,Ptuj,,,46.425815,59.0,,,E801,2023-02-16 02:00:00,15.881421,
58,57.0,230,2023-02-16 01:00,Ptuj,,,46.425815,59.0,,,E801,2023-02-16 02:00:00,15.881421,
59,57.0,230,2023-02-16 01:00,Ptuj,,,46.425815,59.0,,,E801,2023-02-16 02:00:00,15.881421,
60,57.0,230,2023-02-16 01:00,Ptuj,,,46.425815,59.0,,,E801,2023-02-16 02:00:00,15.881421,
61,57.0,230,2023-02-16 01:00,Ptuj,,,46.425815,59.0,,,E801,2023-02-16 02:00:00,15.881421,
62,57.0,230,2023-02-16 01:00,Ptuj,,,46.425815,59.0,,,E801,2023-02-16 02:00:00,15.881421,
63,57.0,230,2023-02-16 01:00,Ptuj,,,46.425815,59.0,,,E801,2023-02-16 02:00:00,15.881421,
64,57.0,230,2023-02-16 01:00,Ptuj,,,46.425815,59.0,,,E801,2023-02-16 02:00:00,15.881421,
65,51.0,230,2023-02-16 02:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 03:00:00,15.881421,
66,51.0,230,2023-02-16 02:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 03:00:00,15.881421,
67,51.0,230,2023-02-16 02:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 03:00:00,15.881421,
68,51.0,230,2023-02-16 02:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 03:00:00,15.881421,
69,51.0,230,2023-02-16 02:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 03:00:00,15.881421,
70,51.0,230,2023-02-16 02:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 03:00:00,15.881421,
71,51.0,230,2023-02-16 02:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 03:00:00,15.881421,
72,51.0,230,2023-02-16 02:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 03:00:00,15.881421,
73,51.0,230,2023-02-16 02:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 03:00:00,15.881421,
74,51.0,230,2023-02-16 02:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 03:00:00,15.881421,
75,51.0,230,2023-02-16 02:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 03:00:00,15.881421,
76,51.0,230,2023-02-16 02:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 03:00:00,15.881421,
77,47.0,230,2023-02-16 03:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 04:00:00,15.881421,
78,47.0,230,2023-02-16 03:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 04:00:00,15.881421,
79,47.0,230,2023-02-16 03:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 04:00:00,15.881421,
80,47.0,230,2023-02-16 03:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 04:00:00,15.881421,
81,47.0,230,2023-02-16 03:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 04:00:00,15.881421,
82,47.0,230,2023-02-16 03:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 04:00:00,15.881421,
83,47.0,230,2023-02-16 03:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 04:00:00,15.881421,
84,47.0,230,2023-02-16 03:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 04:00:00,15.881421,
85,47.0,230,2023-02-16 03:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 04:00:00,15.881421,
86,47.0,230,2023-02-16 03:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 04:00:00,15.881421,
87,47.0,230,2023-02-16 03:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 04:00:00,15.881421,
88,47.0,230,2023-02-16 03:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 04:00:00,15.881421,
89,56.0,230,2023-02-16 04:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 05:00:00,15.881421,
90,56.0,230,2023-02-16 04:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 05:00:00,15.881421,
91,56.0,230,2023-02-16 04:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 05:00:00,15.881421,
92,56.0,230,2023-02-16 04:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 05:00:00,15.881421,
93,56.0,230,2023-02-16 04:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 05:00:00,15.881421,
94,56.0,230,2023-02-16 04:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 05:00:00,15.881421,
95,56.0,230,2023-02-16 04:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 05:00:00,15.881421,
96,56.0,230,2023-02-16 04:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 05:00:00,15.881421,
97,56.0,230,2023-02-16 04:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 05:00:00,15.881421,
98,56.0,230,2023-02-16 04:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 05:00:00,15.881421,
99,56.0,230,2023-02-16 04:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 05:00:00,15.881421,
100,56.0,230,2023-02-16 04:00,Ptuj,,,46.425815,58.0,,,E801,2023-02-16 05:00:00,15.881421,
101,54.0,230,2023-02-16 05:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 06:00:00,15.881421,
102,54.0,230,2023-02-16 05:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 06:00:00,15.881421,
103,54.0,230,2023-02-16 05:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 06:00:00,15.881421,
104,54.0,230,2023-02-16 05:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 06:00:00,15.881421,
105,54.0,230,2023-02-16 05:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 06:00:00,15.881421,
106,54.0,230,2023-02-16 05:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 06:00:00,15.881421,
107,54.0,230,2023-02-16 05:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 06:00:00,15.881421,
108,54.0,230,2023-02-16 05:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 06:00:00,15.881421,
109,54.0,230,2023-02-16 05:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 06:00:00,15.881421,
110,52.0,230,2023-02-16 06:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 07:00:00,15.881421,
111,52.0,230,2023-02-16 06:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 07:00:00,15.881421,
112,52.0,230,2023-02-16 06:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 07:00:00,15.881421,
113,52.0,230,2023-02-16 06:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 07:00:00,15.881421,
114,52.0,230,2023-02-16 06:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 07:00:00,15.881421,
115,52.0,230,2023-02-16 06:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 07:00:00,15.881421,
116,52.0,230,2023-02-16 06:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 07:00:00,15.881421,
117,52.0,230,2023-02-16 06:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 07:00:00,15.881421,
118,52.0,230,2023-02-16 06:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 07:00:00,15.881421,
119,52.0,230,2023-02-16 06:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 07:00:00,15.881421,
120,52.0,230,2023-02-16 06:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 07:00:00,15.881421,
121,52.0,230,2023-02-16 06:00,Ptuj,,,46.425815,53.0,,,E801,2023-02-16 07:00:00,15.881421,
122,54.0,230,2023-02-16 07:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 08:00:00,15.881421,
123,54.0,230,2023-02-16 07:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 08:00:00,15.881421,
124,54.0,230,2023-02-16 07:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 08:00:00,15.881421,
125,54.0,230,2023-02-16 07:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 08:00:00,15.881421,
126,54.0,230,2023-02-16 07:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 08:00:00,15.881421,
127,54.0,230,2023-02-16 07:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 08:00:00,15.881421,
128,54.0,230,2023-02-16 07:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 08:00:00,15.881421,
129,54.0,230,2023-02-16 07:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 08:00:00,15.881421,
130,54.0,230,2023-02-16 07:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 08:00:00,15.881421,
131,54.0,230,2023-02-16 07:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 08:00:00,15.881421,
132,54.0,230,2023-02-16 07:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 08:00:00,15.881421,
133,54.0,230,2023-02-16 07:00,Ptuj,,,46.425815,56.0,,,E801,2023-02-16 08:00:00,15.881421,
134,47.0,230,2023-02-16 08:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 09:00:00,15.881421,
135,47.0,230,2023-02-16 08:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 09:00:00,15.881421,
136,47.0,230,2023-02-16 08:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 09:00:00,15.881421,
137,47.0,230,2023-02-16 08:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 09:00:00,15.881421,
138,47.0,230,2023-02-16 08:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 09:00:00,15.881421,
139,47.0,230,2023-02-16 08:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 09:00:00,15.881421,
140,47.0,230,2023-02-16 08:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 09:00:00,15.881421,
141,47.0,230,2023-02-16 08:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 09:00:00,15.881421,
142,47.0,230,2023-02-16 08:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 09:00:00,15.881421,
143,47.0,230,2023-02-16 08:00,Ptuj,,,46.425815,49.0,,,E801,2023-02-16 09:00:00,15.881421,
